sim_id,replica,init_id,grupo_ic,lambda_cc,gamma,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sim__lam_m0p05__gam_0p07__rep_005__20260601_174914_116777,5,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,1.4941040798046539,-1.0649505589657717,-1.2012836043911306,-0.6658665996843466,0.9786291316536968,-1.3477856197495326,-0.30363684649928524,-1.0358672154720356,0.31910475152516266,-0.5097862392573204
sim__lam_m0p05__gam_0p07__rep_006__20260601_174931_225107,6,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-2.636068298760026,-1.2461459915069026,0.6124499425722785,-0.5520856917788618,1.9804659033066399,-0.2590257306146432,-1.6438055972696557,1.0314321294715607,-1.1218019870442464,-0.7644073953232724
sim__lam_m0p05__gam_0p07__rep_007__20260601_174946_217214,7,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,5.1052211684804805,-1.8581803179710505,1.3260117203494985,-1.6662590095768923,0.9469386909603353,-1.4695854083951045,-1.5940315043578879,1.0840923610356326,1.681621723995469,1.0101118349577891
sim__lam_m0p05__gam_0p07__rep_008__20260601_175001_745557,8,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.1814845298893837,-0.5460676756520219,-1.597085239351645,0.7204222753399137,-1.8002191636215115,-0.8450821130273573,-0.49613258376613545,-0.7916278858228503,1.0274098324210243,0.09830532564712054
sim__lam_m0p05__gam_0p07__rep_009__20260601_175017_201034,9,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,5.1052211684804805,-1.8581803179710505,1.3260117203494985,-1.6662590095768923,0.9469386909603353,-1.4695854083951045,-1.5940315043578879,1.0840923610356326,1.681621723995469,1.0101118349577891
sim__lam_m0p05__gam_0p07__rep_010__20260601_175032_753036,10,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,4.7420232941383205,-1.983316760388227,-2.248636256090455,0.7169298039917932,-1.6518637258360986,-1.6142370394643504,-2.3873757580819595,-1.5389680154642151,1.7044735632418495,0.06322368880390788
sim__lam_m0p05__gam_0p07__rep_011__20260601_175048_134462,11,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.20858178414746714,-1.615958276314807,0.3676177793549331,-0.20209803608034363,0.16934062539876302,-1.8103775950425092,2.3878377965513944,-2.8780941288927466,-0.1897399403381219,-0.7029858414951349
sim__lam_m0p05__gam_0p07__rep_012__20260601_175105_188300,12,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,7.922927842577977,-1.3090540340987444,-1.5476859150818778,-0.9733383961599263,1.395665880578427,0.06057447622159546,1.3951557741558913,-0.6689370454947084,-1.95667480421183,-0.6729634029716383
sim__lam_m0p05__gam_0p07__rep_013__20260601_175120_840497,13,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,4.034729974485746,-0.2710125258623939,4.2483035520949,1.1587473825467545,0.7284699623815216,-0.5536884879551881,-0.1259426798846753,-0.4348360971993306,0.5290784276786697,-0.1829097116705374
sim__lam_m0p05__gam_0p07__rep_014__20260601_175136_672687,14,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,3.011338459219125,1.0108855156869587,-0.6985216532839946,-0.5737089873354146,1.7850051780334562,0.4238169400803251,-1.111778065847691,-2.4653504398550097,-1.026469747835635,0.3082336652913899
sim__lam_m0p05__gam_0p07__rep_015__20260601_175151_934094,15,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,5.842141423525347,-0.25629120439983755,-1.924247639644225,-0.7943684729667505,-1.4648484549676901,1.7035490652821863,0.24042258391319557,0.9085832673811236,1.066853241950709,-1.9490376954122348
sim__lam_m0p05__gam_0p07__rep_016__20260601_175207_138732,16,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,5.842141423525347,-0.25629120439983755,-1.924247639644225,-0.7943684729667505,-1.4648484549676901,1.7035490652821863,0.24042258391319557,0.9085832673811236,1.066853241950709,-1.9490376954122348
sim__lam_m0p05__gam_0p07__rep_017__20260601_175222_889146,17,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-2.636068298760026,-1.2461459915069026,0.6124499425722785,-0.5520856917788618,1.9804659033066399,-0.2590257306146432,-1.6438055972696557,1.0314321294715607,-1.1218019870442464,-0.7644073953232724
sim__lam_m0p05__gam_0p07__rep_018__20260601_175239_650167,18,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.6450882199346546,4.37676742698028,-0.8125971895626639,3.283657069752944,0.09925640928361328,1.117064174096177,-0.7447455122473478,-0.6624475525142792,0.5173670401583006,-0.7342733388049685
sim__lam_m0p05__gam_0p07__rep_019__20260601_175255_675686,19,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-2.7307700626044933,-1.5372022534151097,-3.5254706970880125,-0.6705696091580224,-0.5863326829368094,1.9516041717835622,-0.272147047854628,-0.2636501605928673,1.4725702778697922,0.4728685459707151
sim__lam_m0p05__gam_0p07__rep_020__20260601_175311_076104,20,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,2.619851435347945,-3.8881965297242846,1.4481666552558574,1.3147058497841377,-2.041071136856918,0.20347649041813853,1.734042255292212,1.472622059724072,-1.1084043676420199,-0.5983684283498515
sim__lam_m0p05__gam_0p07__rep_021__20260601_175328_269217,21,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.01217726618859132,-2.9387464864831827,1.5784517100110427,0.09470985180863711,1.7639798154657151,0.08915687293343588,0.47315953958444196,0.8909770281560911,0.38146178644689765,-1.8095389359499328
sim__lam_m0p05__gam_0p07__rep_022__20260601_175343_426900,22,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,2.7067555809123705,-1.3897381707812309,2.6654875837083516,-1.168391992338671,-2.9968995891927377,0.16679523762285645,-3.194107657645231,0.665316784620929,-1.109607158336563,0.825706843848208
