lambda_cc,gamma,grupo,feature,n,mean,std,cv_abs,ci95_low,ci95_high,std_escalada
0.0,0.05,"lambda=0, gamma=0.05",frac_neighbors_8,30,0.04506802721088436,0.015744561103294,0.3493510161787498,0.039433908378346566,0.05070214604342216,0.9020373915999259
0.0,0.08,"lambda=0, gamma=0.08",area_mean,30,0.4205731951256164,0.013770560659186486,0.03274236403742637,0.4156454632799637,0.4255009269712691,0.0894087417306786
0.0,0.08,"lambda=0, gamma=0.08",area_std,30,0.1890480426656373,0.02201059809173524,0.11642859551137813,0.18117165129400858,0.196924434037266,0.4818427250195691
0.0,0.08,"lambda=0, gamma=0.08",area_cv,30,0.44854306800649774,0.04030576207850832,0.08985929100998712,0.4341198362824453,0.46296629973055015,0.8687323952828475
0.0,0.08,"lambda=0, gamma=0.08",area_q10,30,0.27763453666666665,0.0054119565445080575,0.019493095525812614,0.27569789288928565,0.27957118044404766,0.04976233079349213
0.0,0.08,"lambda=0, gamma=0.08",area_q50,30,0.37322736666666667,0.006094334457642539,0.016328744893686895,0.3710465370891179,0.37540819624421545,0.05142995696163617
0.0,0.08,"lambda=0, gamma=0.08",area_q90,30,0.6587614133333336,0.09975328999834343,0.15142552065032416,0.6230651569499348,0.6944576697167324,0.38603612155561234
0.0,0.08,"lambda=0, gamma=0.08",area_skew,30,2.507653162368377,0.3192715146065814,0.12731884911270677,2.3934033181627186,2.621903006574035,0.48493283976349305
0.0,0.08,"lambda=0, gamma=0.08",perimeter_mean,30,2.3857313602753396,0.03468583573782796,0.01453886900905089,2.3733191933644484,2.398143527186231,0.08981066879116435
0.0,0.08,"lambda=0, gamma=0.08",perimeter_std,30,0.433079939095598,0.044556954101919885,0.10288390220744995,0.41713543784344,0.449024440347756,0.6910272142755434
0.0,0.08,"lambda=0, gamma=0.08",perimeter_cv,30,0.18135617799711365,0.01661957519365968,0.0916405240626773,0.17540893939369612,0.18730341660053118,0.954228727347673
0.0,0.08,"lambda=0, gamma=0.08",perimeter_q10,30,2.0201635472409816,0.021847768476381178,0.010814851355089321,2.012345423698881,2.027981670783082,0.06583457311243522
0.0,0.08,"lambda=0, gamma=0.08",perimeter_q50,30,2.2876884455368276,0.01995154315847976,0.008721267617277291,2.2805488775101352,2.29482801356352,0.060916904234563224
0.0,0.08,"lambda=0, gamma=0.08",perimeter_q90,30,2.988779109852672,0.2200083308951686,0.07361143892163166,2.910050139748047,3.067508079957297,0.4258329071901723
0.0,0.08,"lambda=0, gamma=0.08",perimeter_skew,30,2.109210014045443,0.25004135391527016,0.11854739558897381,2.019733864677739,2.198686163413147,0.4436996690235944
0.0,0.08,"lambda=0, gamma=0.08",shape_mean,30,3.756118232279639,0.004185425293936634,0.0011142954068824513,3.754620497073428,3.75761596748585,0.21572198916110583
0.0,0.08,"lambda=0, gamma=0.08",shape_std,30,0.05864903556872274,0.005680253937504748,0.09685161712248175,0.05661638280228919,0.06068168833515628,0.5696006449496608
0.0,0.08,"lambda=0, gamma=0.08",shape_q10,30,3.684688568712929,0.002614869404521535,0.0007096581856943517,3.683752849713842,3.6856242877120162,0.19050376334991848
0.0,0.08,"lambda=0, gamma=0.08",shape_q50,30,3.7411729730311323,0.0032793008612939634,0.000876543502514679,3.7399994902888087,3.742346455773456,0.14160027147016177
0.0,0.08,"lambda=0, gamma=0.08",shape_q90,30,3.8327247776823694,0.006277031855682678,0.0016377465692901565,3.8304785706805657,3.834970984684173,0.23019644904388475
0.0,0.08,"lambda=0, gamma=0.08",elongation_mean,30,1.1715440791974057,0.016567338555921806,0.014141455579948522,1.1656155332347353,1.177472625160076,0.2792452515256581
0.0,0.08,"lambda=0, gamma=0.08",elongation_std,30,0.11362352918709143,0.014461832179161702,0.12727849841161848,0.10844842900493587,0.11879862936924698,0.4046756161813648
0.0,0.08,"lambda=0, gamma=0.08",elongation_q10,30,1.0541382766831473,0.006848652835281059,0.0064969207425333115,1.0516875177408294,1.0565890356254652,0.3179361197726022
0.0,0.08,"lambda=0, gamma=0.08",elongation_q50,30,1.1477058108098375,0.014562872051434146,0.01268868024738707,1.1424945539737446,1.1529170676459304,0.2646727391238077
0.0,0.08,"lambda=0, gamma=0.08",elongation_q90,30,1.3197128121549822,0.03389824457014656,0.02568607674179773,1.3075824811238632,1.331843143186101,0.31879401062679075
0.0,0.08,"lambda=0, gamma=0.08",neighbors_mean,30,5.991955023519166,0.00768937338937575,0.0012832828950140656,5.989203416590318,5.9947066304480146,0.554244290674717
0.0,0.08,"lambda=0, gamma=0.08",neighbors_std,30,0.708879834022222,0.03923913170014271,0.0553537141513785,0.694838291077087,0.722921376967357,0.4146213428074716
0.0,0.08,"lambda=0, gamma=0.08",center_x_std,30,2.4755835651891287,0.06956313712107202,0.0280996925731964,2.450690716266065,2.5004764141121925,0.16350997979188586
0.0,0.08,"lambda=0, gamma=0.08",center_y_std,30,2.4537988162750977,0.07484216961430658,0.030500532121014747,2.427016889835514,2.4805807427146815,0.1731536808012536
0.0,0.08,"lambda=0, gamma=0.08",xy_corr,30,0.002048531585568332,0.022408987130496723,10.939048872063017,-0.005970421472679468,0.01006748464381613,0.8148846329058423
0.0,0.08,"lambda=0, gamma=0.08",frac_neighbors_4,30,0.0040559964176908325,0.0038244843763113844,0.9429210439216184,0.002687422260052709,0.0054245705753289564,0.40394380310043976
0.0,0.08,"lambda=0, gamma=0.08",frac_neighbors_5,30,0.22045995483105812,0.01975190928516584,0.08959409113687805,0.21339182486846117,0.22752808479365508,0.5368268196573166
0.0,0.08,"lambda=0, gamma=0.08",frac_neighbors_6,30,0.5769055939212495,0.034621812999757084,0.06001296115787557,0.5645163372529437,0.5892948505895553,0.5180714328801189
0.0,0.08,"lambda=0, gamma=0.08",frac_neighbors_7,30,0.1781364073345806,0.01704349716805281,0.09567666387276606,0.17203747020087157,0.18423534446828965,0.6812186460689204
0.0,0.08,"lambda=0, gamma=0.08",frac_neighbors_8,30,0.018935578635238752,0.00861521379841918,0.45497494237574715,0.015852663970957772,0.022018493299519732,0.4935828272263407
